model,best_threshold,default_accuracy,default_precision,default_recall,default_f1,default_f2,optimized_accuracy,optimized_precision,optimized_recall,optimized_f1,optimized_f2,f2_improvement
Logistic Regression,0.5200000000000001,0.8149587178241865,0.34137686302342085,0.6910919540229885,0.45700712589073633,0.5735750059623181,0.8295288975230695,0.3625866050808314,0.6767241379310345,0.47218045112781953,0.5767817781043351,0.0032067721420169226
Decision Tree,0.36000000000000004,0.8871620527764287,0.4993514915693904,0.5531609195402298,0.5248807089297887,0.5414908579465542,0.7639630888780962,0.2822857142857143,0.7097701149425287,0.4039247751430908,0.5447728275253639,0.0032819695788097736
Random Forest,0.4600000000000001,0.8546219847822567,0.4050751879699248,0.6192528735632183,0.48977272727272725,0.560031185031185,0.8190059899627651,0.3437037037037037,0.6666666666666666,0.45356793743890517,0.5611998064828253,0.001168621451640317
Gradient Boosting,0.32000000000000006,0.8889428525174032,0.5075528700906344,0.4827586206896552,0.4948453608247423,0.4875217643644806,0.8360045329447952,0.37269076305220883,0.6666666666666666,0.4781040700669758,0.575825266815587,0.08830350245110641
