model,val_f2_yes_untuned,val_f2_yes_tuned,improvement
Logistic Regression,0.5392620624408704,0.5405405405405406,0.0012784780996701883
Decision Tree,0.4589928057553957,0.49265951439864486,0.033666708643249166
Random Forest,0.3095388502842703,0.5182144689584403,0.20867561867416995
Gradient Boosting,0.3687133600740512,0.46815934864786274,0.09944598857381154
